"","state","quantile","occ_category","share_quantile","percentile"
"294","AK",14,"Construction",0.0291244239631336,0.35
"295","AK",14,"Installation, Maintenance, and Repair",0.0219354838709677,0.35
"296","AK",14,"Production",0.0737327188940092,0.35
"297","AK",14,"Transportation and Material Moving",0.12331797235023,0.35
"298","AK",14,"Not Identified",0.0123502304147465,0.35
"299","AK",15,"Business Operations Specialists",0.0538447353863175,0.375
"300","AK",15,"Financial Specialists",0.0248939701272358,0.375
"301","AK",15,"Architecture and Engineering",0.0217591738889913,0.375
"302","AK",15,"Life, Physical, and Social Science",0.00387239535312558,0.375
"303","AK",15,"Community and Social Services",0.026369168356998,0.375
"304","AK",15,"Legal",0.000737599114881062,0.375
"305","AK",15,"Arts, Design, Entertainment, Sports, and Media",0.0473907431311082,0.375
"306","AK",15,"Healthcare Practitioners and Technicians",0.0630647243223308,0.375
"307","AK",15,"Healthcare Support",0.0514475382629541,0.375
"308","AK",15,"Protective Service",0.0304259634888438,0.375
"309","AK",15,"Food Preparation and Serving",0.0663839203392956,0.375
"310","AK",15,"Building and Grounds Cleaning and Maintenance",0.0636179236584916,0.375
"311","AK",15,"Personal Care and Service",0.0191775769869076,0.375
"312","AK",15,"Sales and Related",0.107320671215195,0.375
"313","AK",15,"Office and Administrative Support",0.139959432048682,0.375
"314","AK",15,"Farming, Fishing, and Forestry",0.00626959247648903,0.375
"315","AK",15,"Construction",0.0883274940070072,0.375
"316","AK",15,"Installation, Maintenance, and Repair",0.0178867785358658,0.375
"317","AK",15,"Production",0.0189931772081873,0.375
"318","AK",15,"Transportation and Material Moving",0.133689839572193,0.375
"319","AK",15,"Not Identified",0.014567582518901,0.375
"320","AK",16,"Other Managers",0.0384180790960452,0.4
"321","AK",16,"Business Operations Specialists",0.0435028248587571,0.4
"322","AK",16,"Financial Specialists",0.00564971751412429,0.4
"323","AK",16,"Architecture and Engineering",0.0212806026365348,0.4
"324","AK",16,"Community and Social Services",0.00602636534839925,0.4
"325","AK",16,"Legal",0.00828625235404896,0.4
"326","AK",16,"Education, Training, and Library",0.0212806026365348,0.4
"327","AK",16,"Arts, Design, Entertainment, Sports, and Media",0.0141242937853107,0.4
"328","AK",16,"Healthcare Practitioners and Technicians",0.0467043314500942,0.4
"329","AK",16,"Healthcare Support",0.044256120527307,0.4
"330","AK",16,"Protective Service",0.0177024482109228,0.4
"331","AK",16,"Food Preparation and Serving",0.0589453860640301,0.4
"332","AK",16,"Building and Grounds Cleaning and Maintenance",0.0617702448210923,0.4
"333","AK",16,"Personal Care and Service",0.0888888888888889,0.4
"334","AK",16,"Sales and Related",0.0564971751412429,0.4
"335","AK",16,"Office and Administrative Support",0.255555555555556,0.4
"336","AK",16,"Construction",0.00809792843691149,0.4
"337","AK",16,"Extraction",0.00244821092278719,0.4
"338","AK",16,"Installation, Maintenance, and Repair",0.0199623352165725,0.4
"339","AK",16,"Production",0.0440677966101695,0.4
"340","AK",16,"Transportation and Material Moving",0.11864406779661,0.4
"341","AK",16,"Not Identified",0.0178907721280603,0.4
"342","AK",17,"Chief Executives",0.0135511416372749,0.425
"343","AK",17,"Business Operations Specialists",0.0495637646185261,0.425
"344","AK",17,"Financial Specialists",0.013365509560052,0.425
"345","AK",17,"Community and Social Services",0.0046408019305736,0.425
"346","AK",17,"Legal",0.0161499907183961,0.425
"347","AK",17,"Education, Training, and Library",0.00501206608501949,0.425
"348","AK",17,"Arts, Design, Entertainment, Sports, and Media",0.00761091516614071,0.425
"349","AK",17,"Healthcare Practitioners and Technicians",0.0194913681084091,0.425
"350","AK",17,"Healthcare Support",0.0324856135140152,0.425
"351","AK",17,"Food Preparation and Serving",0.133283831446074,0.425
"352","AK",17,"Building and Grounds Cleaning and Maintenance",0.0551327269352144,0.425
"353","AK",17,"Personal Care and Service",0.0376833116762577,0.425
"354","AK",17,"Sales and Related",0.117690736959347,0.425
"355","AK",17,"Office and Administrative Support",0.218860219045851,0.425
"356","AK",17,"Farming, Fishing, and Forestry",0.00129942454056061,0.425
"357","AK",17,"Construction",0.0504919250046408,0.425
"358","AK",17,"Installation, Maintenance, and Repair",0.0568034156302209,0.425
"359","AK",17,"Production",0.066270651568591,0.425
"360","AK",17,"Transportation and Material Moving",0.0907740857620197,0.425
"361","AK",17,"Not Identified",0.00983850009281604,0.425
"362","AK",18,"Business Operations Specialists",0.0600921658986175,0.45
"363","AK",18,"Financial Specialists",0.0599078341013825,0.45
"364","AK",18,"Computer and Mathematical",0.0047926267281106,0.45
"365","AK",18,"Life, Physical, and Social Science",0.00534562211981567,0.45
"366","AK",18,"Community and Social Services",0.0134562211981567,0.45
"367","AK",18,"Legal",0.0311520737327189,0.45
"368","AK",18,"Education, Training, and Library",0.0023963133640553,0.45
"369","AK",18,"Arts, Design, Entertainment, Sports, and Media",0.0296774193548387,0.45
"370","AK",18,"Healthcare Practitioners and Technicians",0.103410138248848,0.45
"371","AK",18,"Healthcare Support",0.0687557603686636,0.45
"372","AK",18,"Protective Service",0.055668202764977,0.45
"373","AK",18,"Food Preparation and Serving",0.0344700460829493,0.45
"374","AK",18,"Building and Grounds Cleaning and Maintenance",0.0182488479262673,0.45
"375","AK",18,"Personal Care and Service",0.0442396313364055,0.45
"376","AK",18,"Sales and Related",0.0475576036866359,0.45
"377","AK",18,"Office and Administrative Support",0.164423963133641,0.45
"378","AK",18,"Farming, Fishing, and Forestry",0.00737327188940092,0.45
"379","AK",18,"Construction",0.0490322580645161,0.45
"380","AK",18,"Installation, Maintenance, and Repair",0.0488479262672811,0.45
"381","AK",18,"Production",0.0648847926267281,0.45
"382","AK",18,"Transportation and Material Moving",0.0857142857142857,0.45
"383","AK",18,"Not Identified",0.000552995391705069,0.45
"384","AK",19,"Other Managers",0.00580089820359281,0.475
"385","AK",19,"Business Operations Specialists",0.0581961077844311,0.475
"386","AK",19,"Financial Specialists",0.0172155688622754,0.475
"387","AK",19,"Computer and Mathematical",0.00823353293413174,0.475
